,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
25,Ирина,Стикеры для обуви,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Сцена 1
Действие в кадре: блогер в халате стоит в прихожей, смотрит на обувь с обожанием. Показываем кадры обуви, реакцию.
Озвучка:
Развожусь с мужем и выхожу за эту штуковину.
Потому что она — первая в этом доме, кто по-настоящему заботится обо мне.

Сцена 2
Действие в кадре: садится на пол и берёт кроссовки мужа, показываем их с разных сторон.
Озвучка:
Когда он приходит домой и снимает обувь, в воздухе повисает один вопрос:
«Кто умер?»
А второй вопрос — почему эта обувь до сих пор с нами?

Сцена 3
Действие в кадре: достаёт стикер, показывает его (много кадров), кладёт в обувь
Озвучка:
Но потом я нашла эту штуку на Вайлдберриз.
Стикеры от запаха. Маленькие, но могучие.
Ты просто кладёшь его в обувь, и через час она как новенькая.
Пахнет, будто её выгладили и положили в ящик с цитрусами.

Сцена 4
Действие в кадре: нюхает обувь, делает театрально счастливое лицо
Озвучка:
И вот теперь я счастлива.
Потому что в доме — воздух, в котором можно жить.

Сцена 5
Действие в кадре: идёт по квартире, раскладывая стикеры в другие пары обуви
Озвучка:
Сейчас у меня в каждой паре обуви по стикеру.

Сцена 6
Действие в кадре: подмигивает в камеру
Озвучка:
В общем, если что — артикул в описании.
Вдруг тоже влюбитесь.",,,
26,Ирина,Стикеры для обуви,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Сцена 1
Действие в кадре: блогер сидит с открытым пакетом ВБ на полу, достает из него разные предметы (можно нелогичные)
Озвучка:
Муж спросил, сколько я трачу на Вайлдберриз.
А когда узнал, хотел запретить мне покупки. Но я решила проблему.

Сцена 2
Показываем ботинки, показываем что от них запах, убираем в шкаф с обувью, чтобы были подальше, выставляем их за дверь.
Озвучка:
Дело в том, что он очень давно боролся с запахом в ботинках. Как ни пытался решить проблему, не получалось. А мне как раз недавно подсказала его знакомая из массажки одну  находку на вайлдберриз

Сцена 3
Действие в кадре: снова кадры ботинок, затем пакет вайлдберриз, блогер достаёт стикер, показывает с разных сторон, кидает в его кеды
Озвучка:
Я называю их «орудие носового поражения».
Каждый раз, когда он снимал их — я искала паспорт, чтобы сбежать из страны.

Сцена 4
Действие в кадре: нюхает воздух над обувью, смотрит удивлённо
Озвучка:
А тут я бросила внутрь этот стикер — и через час всё.
Обувь — не пахнет.
Вообще.
Просто... тишина и свежесть.

Сцена 5
Действие в кадре: показывает упаковку, расставляет стикеры по полке
Озвучка:
Они работают за счёт активных сорбентов и ароматизатора.

Сцена 6
Действие в кадре: блогер с серьёзным кивает в камеру. Снова кадры стикеров.
Озвучка:
Так что если муж спрашивает про Вайлдберриз — покажи ему результат, а не чеки.
Артикул в описании.",,,
27,Юлия @schpulia78,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Любовница мужа пришла в ярость, когда это увидела!","Я уже привыкла к её взгляду полного недоверия, но не к тому, что она заплакала от облегчения.
Всё началось с того, что он жаловался на задыхание при пробежках по утрам — вдох-выдох, и казалось, что в груди камень.
Никакие ингаляторы, спреи и вдохи через шарики не помогали — он пыхтел, сбивался, а я смотрела в растерянности.
И вот вчера я спокойно развернула перед ним пакет с Wildberries и сказала: «Подожди, это тебе».
Я думала, он получит очередной крем для лица, а он раз – и увидел…","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, Облегчает заложенность носа, Повышает качество сна, Эффективная фиксация, Не вызывает раздражений","Артикул — в описании, дыши свободно и наслаждайся!"
28,Юлия @schpulia79,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Развожусь с мужем и выхожу замуж за покупку с вайлдберриз!,"Не потому что он перестал варить кофе или забывал годовщину, а потому что каждый раз, когда он пытался меня обнять, я чётко понимала: он задыхается. Ночи — храп и бессонница, хрип в груди, а я ночами сижу с фонариком у двери. Все капли, упражнения, медитации — провал. И вот сегодня он пришёл с пакетом WB и сказал: «Это должно помочь».","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Водонепроницаемый, Не вызывает раздражений, 4 размера — под любой нос, В коплекте 4 расширителя и 30 пластырей, Повышает качество сна","Ссылка на артикул — в описании, пусть носы работают!"
29,Юлия @schpulia80,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Муж спросил, сколько я трачу на Вайлдберриз, и вот что случилось!","Муж: «Сколько ты тратишь на Wildberries?» Я говорю: «Немного…» и не успеваю оправдаться, как он сбегает на пробежку и задыхается. Я перепробовала клипсы, полоски, ингаляторы — ноль эффекта. А сегодня он получил от меня пакет WB и удивлённо спросил: «Это что ещё?»","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Незаменим в спорте, Водонепроницаемый, Эффективная фиксация, Устраняет храп, Облегчает заложенность носа",Артикул — в описании. Дыши глубже!
30,Юлия @schpulia81,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Решила увлечься хобби-хорсингом, но муж не поддержал. я скачивала курс по преодолению препятствий на лошади-палке, но даже виртуальный бег вызывает у мужа одышку. Я смотрела на него, как он ловит воздух, и поняла: настоящая преграда — узкие ноздри. И тогда я достала из WB пакет и предложила вставить новый расширитель. Через минуту он цокнул керамикой сапог-лошади в спальне — и сделал полный вдох без усилий.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Повышает качество сна, 15 дней свежего дыхания в одной пачке, Не вызывает раздражений, Эффективная фиксация, 4 размера — под любой нос","Артикул — в описании, дыши на все сто!"
31,Юлия @schpulia82,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Не используйте фумигаторы, аромасвечи и фитнесбраслеты — я купила их все, но кдышать они мне так и не помогли. Все лайфхаки YouTube провалились, а я все дальше задыхалась, пыхтела и храпела. Пока я не нашла это на вайлдберриз и не сказала всем своим подругам: «Скорее сюда». Теперь делюсь находкой!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Облегчает заложенность носа, В коплекте 4 расширителя и 30 пластырей, Водонепроницаемый, Незаменим в спорте, Повышает качество сна", Артикул — в описании!
32,Юлия @schpulia83,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Каждый спортсмен и соня знаком с проблемой сдавленного дыхания. Я видела, как друзья задыхаются на пробежках, а муж делает утренние попытки глубоко вдохнуть. Полоски, тренажёры, капли — не спасают. Сегодня я вынула пакет  Wildberries и сказала: «Это для тебя — попробуй это».","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, 4 размера — под любой нос, Не вызывает раздражений, 15 дней свежего дыхания в одной пачке, Эффективная фиксация","Артикул — в описании, дыши легко!"
33,Юлия @schpulia84,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Полоски из аптеки, силиконовые клипсы, таблетки и дыхательные тренажёры для мышц в носу— что общего у этих предметов? я перепробовала каждый, а он всё равно задыхался и храпел. Никто не убирал причину, лишь маскировал симптомы. Но сегодня я вынула из WB маленький пакет и сказала: «Вот это настоящее решение».","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Водонепроницаемый, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Эффективная фиксация, В коплекте 4 расширителя и 30 пластырей",Артикул — в описании!
34,Юлия @schpulia85,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Не делай так! Хватит смазывать нос углём, звёздочкой и маслом! И прекрати пытаться прыгать на месте, чтобы расправить ноздри. А вот так делай.... Я только что нашла это на вайлдберриз, и теперь делюсь находкой для каждого, кто хочет дышать свободнее!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Повышает качество сна, Облегчает заложенность носа, Эффективная фиксация, Не вызывает раздражений, Водонепроницаемый",Артикул — в описании — дыши правильно!
35,Юлия @schpulia86,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Аффирмация для хорошего сна! «Я дышу свободно, я полна энергии с утра, я не бужу храпом соседей сверху...» — хорошая аффирмация, которая почти помогла мне хорошо спать. Но даже когда я читала ее по 53-54 раза перед сном, спять было тяжело из-за затрудненного дыхания. Все мантры и дыхательные упражнения не раскрыли мне ноздри. А сегодня утром я получила пакет WB с этой находкой и решила, что стоит побробовать что-то еще, кроме эзотерики.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, В коплекте 4 расширителя и 30 пластырей, 15 дней свежего дыхания в одной пачке, 4 размера — под любой нос, Незаменим в спорте",Артикул — в описании — пусть аффирмации сработают!
36,Юлия @schpulia87,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"В последнее время я столкнулась с проблемой храпа. И оказалось, что у нее есть необычное решение. Найти его мне помог учитель физики  моего сына. Я догадывалась, что у физиков есть решение на все. но такого элегантного использования физических законов я не ожидала! Когда я уснула, пока ждала сына с последнего урока, он услышал мой храп в корридоре и решил поделиться своей находкой на WB","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Облегчает заложенность носа, Не вызывает раздражений, Водонепроницаемый, 4 размера — под любой нос, Устраняет храп",Артикул — в описании — доверься науке!
37,Юлия @schpulia88,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"В мире набирает популярность этот маленький девайс для сна — кажется, его обсуждают все марафонцы и блогеры о ЗОЖ. Я сначала думала: «Ну и что там такого?» Пока не увидела, как в Тайване парни на великах дышат ровно, без «захлёбываний». А в Латинской Америке йоги хвалят его за глубокий медитативный вдох. Каждый кадр — свежий нос и счастливое лицо. В общем, я решила найти его на Вайлдюерриз","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Эффективная фиксация, Повышает качество сна, Незаменим в спорте, В коплекте 4 расширителя и 30 пластырей, Не вызывает раздражений",Артикул — в описании!
38,Юлия @schpulia89,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"В Китае придумали чудо-штучку для тех, кто хочет дышать свободно. А теперрь она появилась и у нас. Сначала я думала, что это очередная безделушка от маркетологов. Но когда мой коллега на пробежке в соседнем районе финишировал марафон, не сбив дыхание,, я заинтересовалась. Он же не супергерой, и курит по пять пачек в день — просто с этой находкой с вайлдберриз, у него чистый вдох, а не кашель на каждом километре.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Водонепроницаемый, 15 дней свежего дыхания в одной пачке, Устраняет храп, Облегчает заложенность носа, 4 размера — под любой нос"," Артикул — в описании, убедись сам!"
39,Юлия @schpulia90,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Видео с этой китайской штуковиной уже набрало миллионы просмотров: каждый блогер демонстрирует, как носит её и дышит полной грудью. Я увидела это в утренней ленте, а потом ночью мой муж вдруг закашлялся так, что я вспомнила ролики. «Надо попробовать», — подумала я, зашла на WB и оформила заказ.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","В коплекте 4 расширителя и 30 пластырей, Эффективная фиксация, Повышает качество сна, Не вызывает раздражений, Устраняет храп","Ссылка на артикул — в описании, вдохни и ты!"
40,Юлия @schpulia91,Расширитель для носа,394834631,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Недавно решила попробовать такой завтрак! (кладем на стол сельдь, йогурт, яйцо - или другой нелогичный набор продуктов) Я решила проверить, правда ли он поможет дышать свободнее - услышала у одного блогера, что это поможет снизить заложенность носа. Но пока гуглила полный состав этого кулинарного шедевра, мне всплыла реклама вот этой штуковины с Вайлдберриз, и я решила ее попробовать.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Облегчает заложенность носа, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Водонепроницаемый, 4 размера — под любой нос","Артикул — в описании, попробуй этот «ингредиент»!"
41,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Если у вас есть окно, вы уже в опасности	Потому что именно туда целятся все летающие твари. Комары, мухи, осы — каждый вечер у нас был летающий шабаш. А потом Фил чуть не выпрыгнул за пчелой. Я ревела, правда. Только после этого соседка рассказала, что у них давно стоит одна вещь, которая решает и насекомых, и безопасность животных. На Вайлдберриз нашли её — и мы, наконец, выдохнули.","Далее распаковка товара, отражаем триггеры из столбца H","Эффективная защита от насекомых

Лёгкий монтаж

Долговечность

Отличная вентиляция

Универсальность",Артикулом вайлдберриз на сетку делюсь в описании!
42,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Я думала, комары — это просто раздражение. Пока не пострадала Ешка.	Она — кошка с характером. Любит сидеть на подоконнике и смотреть в окно. В один момент на неё напала оса — прямо дома. После визита к ветеринару я поняла: это уже не шутки. Начала искать, как вообще можно защитить окно. Решение оказалось... очень простым. Кто-то даже скажет “глупым”. Но оно работает.","Далее распаковка товара, отражаем триггеры из столбца H","Эффективная защита от насекомых

Лёгкий монтаж

Долговечность

Отличная вентиляция

Мобильность

",Артикулом вайлдберриз на сетку делюсь в описании!
43,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Люди говорят: «Ну, открой форточку, проветривай». Угу. Я открыла — и чуть не потеряла Фила. Он услышал голубя и прыгнул на подоконник. Дальше — только чудом не вывалился. В тот же вечер у меня в комнате уже кружились комары. Я в истерике залезла в WB искать “спасение”, и наткнулась на одну находку, которую теперь советую всем. Да, мы с Филом теперь дышим свежим воздухом — но уже безопасно.","Далее распаковка товара, отражаем триггеры из столбца H","Эффективная защита от насекомых

Лёгкий монтаж

Долговечность

Универсальность

Уют и комфорт",Артикулом вайлдберриз на сетку делюсь в описании!
44,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Это самый дешевый апгрейд окна, который спас меня и от комаров, и от нервов!        У нас дома летом открыты все окна. И как бы вы думали, кто в них первым лезет? Комары, осы и Ешка. Она обожает балансировать на краю. Один раз чуть не вылетела вниз. Всё. Паника. Нашла один лайфхак в комментариях к товару на WB. Сначала не поверила, потом поставила — и теперь вообще не думаю о насекомых. И о падениях.","Далее распаковка товара, отражаем триггеры из столбца H","Эффективная защита от насекомых

Лёгкий монтаж

Мобильность

Отличная вентиляция

Уют и комфорт",Артикулом вайлдберриз на сетку делюсь в описании!
45,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Окно открыто. Ночь. И тут… этот звук. Пиииии.	Тонкий писк — сначала не поняла, где. Потом почувствовала укус. И ещё. Фил крутится, не может уснуть. Мы вдвоём гоняли комаров в 3 ночи. Так продолжалось, пока не наткнулась на один товар в рекомендованном. Комаров нет. Ночью тишина. Фил храпит. Я счастлива.","Далее распаковка товара, отражаем триггеры из столбца H","Лёгкий монтаж

Долговечность

Универсальность

Мобильность

Уют и комфорт",Артикулом вайлдберриз на сетку делюсь в описании!
46,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Не знаю, зачем я вообще раньше открывала окно. Только хуже делала.	Потому что влетали осы, Ешка ловила мух, а комары ели нас каждую ночь. Я вообще перестала проветривать, голова болела от духоты. Пока подруга не прислала ссылку на одну странную штуку — я даже не сразу поняла, как её крепить. Но установила. С тех пор — свежо, тихо, безопасно. И для меня, и для Ёшки.","Далее распаковка товара, отражаем триггеры из столбца H","Эффективная защита от насекомых

Долговечность

Мобильность

Отличная вентиляция

Универсальность",Артикулом вайлдберриз на сетку делюсь в описании!
47,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Если у вас в доме есть окно, вы уже в опасности!	Особенно если, как у нас, летом окна открыты круглосуточно. Поначалу казалось: подышим свежим воздухом. А потом — то Ешка гоняет осу, то комар кусает Фила, а один раз вообще муха залетела и жужжала над ухом всю ночь. Мы уже не спали, а выживали. Всё изменилось после того, как я наткнулась на одну штуку в отзывах на вайлдберриз. О ней никто не говорит, но она реально решает.","Далее распаковка товара, отражаем триггеры из столбца H","Лёгкий монтаж

Долговечность

Универсальность

Отличная вентиляция

Уют и комфорт",Артикулом вайлдберриз на сетку делюсь в описании!
48,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Не знаю, почему все не любят самокатчиков! Фил вот их очень любит! Очень! (зловещще) . Они, по крайней мере, ездят почти бесшумно. В отличие от комаров.	Эти гады не просто шумят. Они бесятся, вгрызаются, и, кажется, зовут друзей. Фил с ума сходил, пока я их гоняла тапком. Я всерьёз думала, что с ума сойду. И только когда у подруги на даче я увидела, что у неё  стоит на окнах — я поняла, как можно открыть окно и не жить в аду. Подруга подсказала находку на WB. И теперь впервые за лето высыпаюсь.","Далее распаковка товара, отражаем триггеры из столбца H","Эффективная защита от насекомых

Лёгкий монтаж

Универсальность

Мобильность

Уют и комфорт",Артикулом вайлдберриз на сетку делюсь в описании!
49,Валерия,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Вы правда любите выбираться на природу? Вот прямо правда? А ничего тот факт, что там полно комаров, слепней и других насекомых?	А теперь представьте, что они лезут не только в лесу — но и в вашей спальне. Потому что вы просто открыли окно. Я открыла — и проснулась искусанная, Фил чесался, и спать невозможно. Природа пришла ко мне сама. Я хотела бороться с ней спреем, но нашла другой способ. Ничего токсичного, кстати. Просто надо знать, что искать на Вайлдберриз","Далее распаковка товара, отражаем триггеры из столбца H","Долговечность

Универсальность

Мобильность

Отличная вентиляция

Эффективная защита от насекомых",Артикулом вайлдберриз на сетку делюсь в описании!
50,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,-,"Любовница мужа приехала ко мне в деревню, захлопнула дверь и закричала: «Как ты можешь так жить?» Я подумала, что речь о моём муже, а она — о комарах. Вечером, на веранде, они оккупировали весь стол, я мяла платок и хлопала руками. Никакие шалфей, ладан и разводы с зеркалами не спасали. Пока я не достала пакет с WB и не сказала: «Смотри, вот тебе!».","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества",,"Артикул — в описании, забудь о комарах!"
51,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Муж спросил: «Сколько денег на Wildberries ушло?» Я ответила: «Не много…» Ему, конечно, трудно было в это поверить, потому что пришлось грузить все мои покупки в прицеп - только так они влезли. Но чтобы он не злился, отвезла его к веранде, к рою комаров. Он хмыкнул, а я показала ему только что принесённый пакет WB. Ведь эта находка стоит каждого рубля, который я потратила на вайлдбериз!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Надежная защита от комаров
Простая установка без инструментов
Свободный проход свежего воздуха
Современный эстетичный дизайн
Безопасность для детей и питомцев","Артикул — в описании, защити дом от насекомых!"
52,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Ну неужели все было так просто? Весь прошлый сезон я зыкрывала дверь марлей или решеткой, чтобы комары не попадали в дом. Я думала, что так будет проще, но каждый вечер марля пропускала рой. Пока я не открыла пакет WB — и обнаружила внутри москитную сетку, а не очередной фартук.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Подходит для любых дверей
Не мешает дневному свету
Защищает даже ночью
Удобна в поездках и на пикнике
Не требует ухода","Артикул — в описании, воздух тепла без жужжания!"
53,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Не используйте окуривание полынью, старые колючки на пороге или соду в банке! Я перепробовала всё: дымило, горело, липло, а комары продолжали штурмовать окна. Пока Василич из дома напротив не подсказал мне эту удивительную находку на вайлдберриз! Я сразу же заказала, и ни разу не пожалела.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Не портит внешний вид помещения
Можно установить без помощи специалистов
Не требует использования химии
Автоматическое закрытие на магниты
Пропускает воздух, но не насекомых","Артикул — в описании, забудь про самоделки!"
54,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В деревне это должно быть у каждого: не только трактор и бурёнка, но и москитная сетка на дверь. Я видела, как соседи ставят палки и ветки, чтобы комары не залетали — бесполезно. Сегодня я вынула из WB пакет и сказала: «Вот это точно решит проблему».","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Идеальна для дачи и загородного дома
Совместима с разными типами дверей
Прочная и долговечная ткань
Не нарушает вентиляцию
Сохраняет уют в доме","Артикул — в описании, уют и свежесть дома!"
55,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Что делать, если подруга прилетела на дачу и поняла, что её укусили настолько, что она не может уснуть? Она показала мне бедро, усыпанное точками. Я улыбнулась и сказала: «Хорошо, что это всего лишь комары. А решение от них уже у меня в корзине вайлдберрриз. И сразу же сделала заказ","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Легко снимается и устанавливается повторно
Не вызывает аллергии
Незаменима в летний сезон
Можно стирать и чистить
Эффективна даже при открытых дверях","Артикул — в описании, спасай друзей от укусов!"
56,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Что общего между липкой лентой, ультразвуком, свечами от комаров и мешочком с травами? Они все не работают, когда на веранде нашествие комаров. Я поочерёдно тестировала каждый — комары просто смеялись. Я много чего перепробовала, но затем нашла вот эту находку на вайлдбериз, которая помогает мне не думать о комарах в доме.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Экологически безопасный материал
Не боится влаги и солнца
Защита от мошек и мелких насекомых
Подходит для кемпинга
Легкая и компактная","Артикул — в описании, выбери эффективную защиту!"
57,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Читаем вступление, как аффирмацию","«Я сплю спокойно, я дышу свободно, я не увижу ни одного комара. Никто меня не кусает ни днем, ни ночью, ни вечером...» —Так повторяла я себе, пока всю ночь просыпалась от комариного писка. Никакие мантры и аффирмации не спасали: комары знали, где я сплю, это место было отмечено на всех их картах, по которым они готовили ночные нападения, и атаковали они без пощады. Но, не так давно, я нашла на ваалйдбериз вот эту альтернативу эзотерике.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Можно использовать в детской комнате
Незаметна на фоне двери
Современное решение против насекомых
Без лишних затрат
Легко перевозить","Артикул в описании — забудь мантры, ставь сетку!"
58,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В мире набирает популярность вот этот лайфхак для дома! И мне в мой домик он тоже пригодился. В Европе её ставят на веранды, в Бразилии — на балконы, и даже в Австралии маркетологи её называют «щит от комариных войн». Я сначала кивала, но не верила, что у нас в глуши это сработает. Пока прошлым летом не поставила и не услышала… тишину. Никакого писка, а все благодаря этой находке на вайлдберриЗ!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Не требует электричества
Отличное решение для арендаторов
Легко вписывается в интерьер
Можно использовать круглый год
Износостойкая",Артикул в описании — попробуй тренд первым!
59,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В соседней деревне ридумали супер-простой способ держать комаров за порогом. Сначала я смеялась, думала, что это «селянская байка». Но потом мужик из их села пришел к нам, и везь день ходил хвастался, что на коже ни одного укуса. Тогда мы скинули на него улей с пчелами, а сами решили ночью пробраться в их дереню и узнать, в чем эе дело. Взяли ""Языка"" - оказалось, они нашли новую находку на вайлдберриз, а нам не рассказали! ","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Создает комфорт без комаров
Удобна для загородной террасы
Не влияет на работу дверного замка
Не мешает проходу
Не содержит вредных компонентов",Ссылка в описании — проверь народное но эффективное!
60,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Расскажу лайфак, как с помощью знания физики обычного школьного уровня можно сделать жизнь проще. Уже 2 года я мучалась от комаров. И если на окна можно просто поставить сетку, то что сделать с дверью? Надоедливые насекомые летели через открытую дверь каждый день, жутко мешали спать и вызывали страшный зуд.  А потом учитель физики в школе моего ребенка подсказала мне этот действительно стоящий совет, когда я поделилась с ним этой проблемой. Я думала, он подскажет мне какое-то физическое решение, но он всего лишь поделился со мной своей находкой на вайлдбериз. Я сразу же заказала её, и не пожалела!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Легко открыть, даже с занятыми руками
Без лишнего шума
Не требует специальных креплений
Можно использовать и на даче, и в квартире
Надежно фиксируется","Артикул — в описании, доверяй науке и живи без укусов!"
